tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
709015,91,tess2025099153000-s0091-0000000000709015-0288-s_lc.fits,7.122605,2457222.13278,222.13278000010177,3.072,3775.296481619934,3802.751687794963,3776.312675000102
1129033,4,tess2018292075959-s0004-0000000001129033-0124-s_lc.fits,1.360029395,2459957.33786,2957.337859999854,2.1652751,1410.905916911448,1436.838931887914,1410.984437884854
1129033,31,tess2020294194027-s0031-0000000001129033-0198-s_lc.fits,1.360029395,2459957.33786,2957.337859999854,2.1652751,2144.519482023026,2169.949609638281,2145.400311184854
2521105,91,tess2025099153000-s0091-0000000002521105-0288-s_lc.fits,1.33711647,2455624.2671,-1375.7329000001773,1.809816,3775.296462230638,3802.753194677519,3776.176858909823
2764004,91,tess2025099153000-s0091-0000000002764004-0288-s_lc.fits,11.811437,2457233.78707,233.78707000007853,2.064,3775.296404245563,3802.753318612805,3777.2181700000783
4070275,5,tess2018319095959-s0005-0000000004070275-0125-s_lc.fits,5.424019,2458439.3428,1439.3428000002168,1.6,1437.988462482005,1464.004221058553,1439.3428000002168
4070275,32,tess2020324010417-s0032-0000000004070275-0200-s_lc.fits,5.424019,2458439.3428,1439.3428000002168,1.6,2174.232780170341,2200.230247870061,2177.009384000217
4070275,98,tess2025312202959-s0098-0000000004070275-0298-s_lc.fits,5.424019,2458439.3428,1439.3428000002168,1.6,3988.504582328776,4045.903414113797,3988.631730000217
4616072,6,tess2018349182500-s0006-0000000004616072-0126-s_lc.fits,4.1876244,2456731.19533,-268.80466999998316,3.0456,1468.273761959596,1490.049042418324,1469.0594560000168
4616072,7,tess2019006130736-s0007-0000000004616072-0131-s_lc.fits,4.1876244,2456731.19533,-268.80466999998316,3.0456,1491.635149720479,1516.090284364418,1494.1852024000168
4616072,33,tess2020351194500-s0033-0000000004616072-0203-s_lc.fits,4.1876244,2456731.19533,-268.80466999998316,3.0456,2201.736009287018,2227.576469337935,2201.8937260000166
4616072,87,tess2024353092137-s0087-0000000004616072-0284-s_lc.fits,4.1876244,2456731.19533,-268.80466999998316,3.0456,3663.048734560155,3689.941953478782,3663.3746416000167
5078530,22,tess2020049080258-s0022-0000000005078530-0174-s_lc.fits,8.1352,2455801.779,-1198.2209999999031,3.08,1899.327558269469,1926.498394115433,1901.2902000000968
5078530,49,tess2022057073128-s0049-0000000005078530-0221-s_lc.fits,8.1352,2455801.779,-1198.2209999999031,3.08,2637.477361430608,2664.320112685439,2641.5934000000966
