tic_id,period,t0,duration
709015,7.122605,2457222.13278,3.072
743941,16.9841,2458180.2842,3.66
1129033,1.360029395,2459957.33786,2.1652751
2521105,1.33711647,2455624.2671,1.809816
2764004,11.811437,2457233.78707,2.064
4070275,5.424019,2458439.3428,1.6
4616072,4.1876244,2456731.19533,3.0456
5078530,8.1352,2455801.779,3.08
5078530,32.03,2455793.035,5.88
6036597,4.3315366,2458006.80145,2.9136
6663331,3.1810781,2457034.283,2.3544
8260536,4.77271,2459628.61781,3.127
8260536,10.590547,2459616.49232,4.258
8400842,3.19152309,2457424.98786,2.9638
8767448,4.35301,2458883.80332,4.003
9006668,1.273099,2460205.7524,1.587
10837041,0.7826942,2459116.0139,1.0403706
11023038,28.380619,2457325.8175,4.9392
11439959,3.619188,2457313.27367,4.36848
11755687,3.052524,2458468.68524,2.2564388
12421862,10.215213,2459480.048,2.26
13349647,1.53736596,2455569.83771,1.81584
14156936,4.9394392,2459712.57912,4.98
14227229,5.3518963,2459519.1348,3.2362
14570090,18.718269,2457151.87653,6.888
14570099,26.201446,2457164.3902,3.33
14770122,3.54387,2455208.75049,4.188
15756231,8.249164,2458293.34124,4.89
15756231,12.401394,2458287.80214,5.57
15756231,24.140006,2458298.2096,6.45
15756231,48.677714,2458313.54738,7.56
16005254,3.792622,2459848.9903,1.773
17307715,6.342,2457818.7153,2.4096
17307715,13.85,2457994.66467,3.528
17307715,40.718,2457782.8324,4.464
21276520,50.819172,2459534.0662,3.7496
21832928,16.34136,2458987.2663,4.6981114
22529346,1.27492504,2458661.56378,2.9053
26017005,4.098503,2457063.80714,2.3208
26416742,2.633867,2454967.56281,2.061
26416742,6.186676,2454969.63351,2.908
26416803,7.61760804,2454970.4959,3.479
26417717,0.631332353,2454966.94403,1.1076
26472830,3.0091324,2454964.62411,2.269
26541144,22.12679948,2454977.93506,3.686
26547036,141.834025,2458712.30168,8.681
26582909,27.5722742,2454978.39277,5.292
26584326,4.959319244,2455005.25853,2.22739
26656435,14.2563227,2454966.405,4.389
26656768,9.4060467,2454970.7175,5.161
26657021,5.86601526,2454969.35597,3.978
26814296,6.2216147,2454964.99143,3.2606
26817284,4.977656,2454967.67151,2.553
26817284,6.988055,2454965.5611,3.15
26817284,10.558345,2454969.34663,3.41
26817863,6.91134416,2454969.6481,5.6555
27006192,10.065275,2454969.28185,1.44
27006192,19.271566,2455019.76907,3.209
27007509,24.7576421,2454975.06892,7.361
27014562,49.276764,2454990.02543,3.696
27081773,3.35183158,2454964.64828,1.9405
27082724,12.73719978,2454969.01625,3.382
27083727,7.1,2454971.32271,5.1462
27083727,10.74,2454966.2867,6.0633
27083727,15.27,2454980.58105,6.0765
27187386,16.45809937,2454967.01856,1.8214
27239111,2.78815679,2454964.85216,3.326
27239111,4.13827595,2454966.22851,3.449
27239856,38.1312831,2454992.3666,6.345
27240404,1.916944254,2454965.46704,1.4629
27240575,6.647520065,2454970.13371,1.961
27530621,41.43962808,2455041.93112,10.6468
27532128,23.9109011,2454983.5316,5.055
27534138,7.51464,2454969.17528,4.965
27534138,15.413135,2454969.94071,6.6095
27534138,28.454851,2455009.70618,8.1223
27534458,8.05333618,2454967.96049,5.277
27626711,11.02066,2457150.2894,4.32
27635334,4.733999,2457145.09609,3.5496
27639443,0.646716,2454833.206,1.7
27639443,33.3855938,2454981.92796,5.0514
27642556,3.53232449,2454967.74478,2.8072
27644083,3.709213846,2454966.98373,2.5575
27644083,51.07926307,2455018.18065,6.3729
27649489,40.0306015,2454981.8491,4.979
27769737,1.22621732,2454965.68683,2.1486
27772524,2.566546,2455012.5536,2.327
27772524,4.134444,2455005.97678,3.123
27772524,11.094286,2455004.20123,4.591
27776660,2.757982666,2454964.87883,2.2906
27845000,17.2923453,2454968.74985,6.724
27846759,5.1762429,2454966.7437,5.15
27847148,7.378689766,2454968.8196,3.207
27847148,15.95994513,2455004.52201,4.3653
27847814,77.2548396,2454992.32241,10.294
27912377,34.45859909,2454980.82941,7.434
27913639,2.787868386,2454966.90434,2.0252
27990610,2.816504852,2455003.96769,2.50522
27991150,2.440829992,2454966.84132,0.54
27992970,3.568096926,2455002.74358,3.2455
28084836,82.5342519,2455042.12641,4.8336
28089606,44.9309804,2454973.20427,6.498
28159518,37.815724,2454974.09798,4.631
28159518,53.578637,2455004.18362,5.236
28229515,16.1779561,2454965.33629,5.269
28230581,13.15141081,2454977.16108,5.6035
28230919,4.888,2454957.81321,2.35562
28231454,16.54297375,2455002.64888,3.8725
28234022,10.67607169,2454973.59244,4.549
28361088,11.02347475,2455004.1148,1.421
28900646,0.66913923,2458816.2257,0.904
29781292,22.891054,2458344.815,2.69
29781292,55.99712,2458337.2807,8.957
29781292,84.2899,2458355.5685,10.32
29857954,9.47725,2458345.8734,4.7136
31244979,1.865962,2457302.0928,1.9632
33595516,0.765548,2458871.6812,1.57
33692729,3.5379559,2458471.36,2.429
33692729,6.429575,2458472.9865,3.08
33692729,13.6308205,2458474.56927,4.327
35021200,5.90279,2457583.8828,5
35021200,10.06049,2457590.4834,3.8
36352297,1.5089557,2454159.4532,2.373
36440357,9.20205,2454141.36416,4.4317333
36724087,0.76837931,2459606.58098,0.7883
36724087,12.252284,2459600.54227,1.54
37168957,1.9000693,2455321.72412,2.387
37718056,3.656333,2457619.9195,3.576
37749396,13.475853,2458392.2942,2.37
38064757,5.73594,2456808.86,2.654
38064757,10.93241,2456814.601,3.498
38114658,5.06416,2456813.0707,2.08
38114658,10.35239,2456813.6114,3.362
38354061,7.49556,2456987.6726,3.5904
39200363,3.8266472,2458985.8831,2.113
39414571,4.0197517,2459058.21396,2.7751
39926974,2.260455,2456977.99012,0.9816
39928614,7.06599,2456982.7825,1.62
39936432,4.655411,2456979.948,1.89
40292751,12.779107,2460140.6139,4.6
42883782,6.340758,2459611.7425,3.341
42883782,16.213362,2459608.59136,3.551
44792534,3.6849729,2458411.90651,5.09
46296576,9.398977,2458100.92019,3.92
46296576,22.996591,2458113.30475,4.43
46432937,1.44044527,2459952.28894,1.195
47976987,51.3285623,2455010.67237,9.439
48304302,38.871826,2455004.28713,6.125
48304302,74.920137,2454958.0377,4.794
48304302,150.0189511,2455057.68571,4.3823
48304653,3.4876812,2455088.77995,3.875
48304653,6.02976,2454965.486,3.87
48352404,2.343231895,2454966.20662,2.0391
48353203,34.18890521,2455026.38876,5.3184
48353636,83.5781,2455035.45538,7.2487
48448415,0.938466832,2454968.6012,1.271
48450369,2.46502,2454965.67928,1.231
48451562,3.9466141,2454965.24559,2.836
48503953,28.86235584,2455011.48474,5.2042
48506742,48.4308991,2454974.46029,3.755
48528770,2.243381847,2455003.67889,1.0205
49709169,2.50387,2457740.0093,2.6
49984349,5.761612,2456979.8716,2.232
51641442,0.728113,2457585.45061,0.7992
52368076,4.65382,2458355.35529,2.9616
52368076,9.15059,2458361.9085,2.9544
52368076,19.98,2458342.8516,3.1128
52640302,1.5732918,2455582.60169,2.39976
53498154,3.3903473,2459649.1284,2.392
53498154,7.885385,2459650.9241,3.165
53498154,13.731468,2459655.2041,3.85
53498154,21.489936,2459655.6215,4.18
55092869,4.73620865,2455498.95898,7.1
55652896,17.16073,2458324.5911,2.062
55652896,34.525528,2458331.411,3.8206653
56814628,21.06884,2457588.4749,3.9
57984377,2.5199454,2453912.5151,3.7121363
58824746,10.283918787,2459449.3508,3.7225
59040029,6.102325,2457070.44,2.15
59128183,4.44143463188,2459494.6124,1.462524
61538902,5.748145,2457027.4373,2.6856
62483237,11.07085,2458334.8906,2.1937617
63009789,6.42200058,2454967.58093,2.6602
63068329,28.59915399,2455022.92579,3.6632
63072565,1.569066502,2454966.04048,2.7835
63074796,3.244107,2454965.94408,2.094
63074796,14.51143,2454976.86026,2.967
63122956,5.91,2455005.18429,2.3254
63122956,8.99,2455008.68418,2.8606
63126862,0.45328509,2454966.86952,0.4445
63126862,1.2137672,2455003.48329,0.5532
63126862,1.865169,2454966.7847,0.4279
63204017,3.940997,2454969.09337,2.596
63204017,5.349555,2455004.80599,3.051
63204017,8.109044,2454965.80333,3.698
63206513,8.313783059,2455008.99158,2.9927
63209010,28.6851324,2454992.87673,5.467
63211674,8.6001536,2455010.64241,9.003
63282889,1.025869966,2454964.65551,0.8069
63284044,2.279526656,2454966.35773,1.592
63285279,5.71668872,2454969.32209,1.959
63286249,24.31575992,2455016.40799,4.1383
63288941,44.6169557,2454997.44482,7.632
63289259,13.2217576,2454972.57016,2.9069
63293562,1.644224613,2454964.75113,2.7822
63293562,15.170318,2454965.66283,4.016
63293562,26.234138,2454974.99866,2.435
63293562,39.459357,2454969.46152,8.164
63366291,18.3027248,2454975.89236,8.164
63372898,2.382961,2454968.08186,2.026
63372898,5.902206,2454969.78443,2.827
63372898,26.44,2455027.12074,3.9783
63372898,51.54,2455007.05501,6.3994
63898957,3.3639254,2458383.91562,3.3430495
63898957,13.0393586214,2458389.72719,4.9218325
66561343,10.62656,2458475.689,5.415
67512645,3.37077196,2460313.41167,1.422
68007716,5.45664,2458950.09242,4.162
68577662,11.168454,2457825.34978,5.03016
69356857,4.0966692,2459857.92806,4.783
69679391,3.4741085,2457503.12005,3.57552
70298662,3.1443189,2457990.862,0.821
70899085,4.052037,2458774.70336,1.5605128
73717937,16.254611,2457139.1672,4.8264
77044471,2.686502,2456824.79069,2.6208
77156657,3.840401,2457668.0849,5.5872
77156829,0.8602325,2458998.15553,0.801
77156829,3.694284,2458998.45607,1.23
77156829,4.9652229,2459000.45806,1
79748331,6.443868,2459036.8534,1.98
79748331,12.226574,2459043.51289,2.37
82050863,18.4498,2456822.6712,2.8397
85266608,5.167228,2456885.10428,5.9764524
85293053,8.054246874,2459628.8507,3.4202
86380416,6.0408643461,2458701.56161,3.1347908
88529975,2.6085846,2459794.01216,1.985
88785435,10.508843,2458609.2369,4.1
89020549,2.1097019,2458333.23095,2.1344043
91987762,45.52234,2458894.2511,4.2704237
97568467,10.655669,2459109.19818,7.838
97766057,3.25352,2459734.269,5.1923833
98545929,1.8882378,2456911.87486,3.624
98669309,4.00167,2457583.9993,2.1
98720809,0.584216,2457646.56655,1.5
98720809,8.32727,2457586.3431,2.5
98751904,2.69828,2457583.1943,1.5
100389539,4.28088,2459237.59508,3.334
100566492,4.954,2458248.26526,6.048
100990000,4.040295,2458385.7321,3.074
100990000,9.573083,2459161.60861,3.684
100990000,47.42489,2459136.5372,6.482
102264230,0.78961,2457012.13666,1.899
102264230,4.159151,2459407.76199,3.5722
102264230,9.030501,2457024.43011,4.288
102713734,3.39775,2458839.4534,8.38
103751498,3.71495,2458210.8398,4.0272
104866616,4.463129,2455701.33646,3.0984
106352250,5.20851,2455755.8466,5.7
112115898,4.7185898,2459632.34484,1.237
114749636,4.60273,2456562.595,4.3944
116264089,1.30618581,2454185.9104,1.4177746
117642575,4.94459060181,2458378.78884,3.5188411
118798035,11.530869,2458656.21366,4.8139956
118798035,22.5687423,2458664.15705,5.2019019
118798035,48.864468,2458693.78802,4.974589
119262291,4.175186,2457314.4631,3.3792
119605900,19.89526,2457307.58114,8.267
120044687,8.295611,2454968.79207,1.328
120044687,23.968127,2455019.2169,4.166
120103325,0.645088,2454833.052,1.2
120103325,16.709184,2455007.75561,2.765
120103325,28.551383,2455018.47678,4.248
120106432,49.7701438,2454992.98572,10.085
120251654,4.644909859,2454969.02655,3.366
120418600,0.1768913,2454964.5523,0.65
120418600,4.194496514,2454967.13429,1.8482
120421638,2.164570968,2454964.83228,1.3848
120495446,14.400974,2455007.98593,3.906
120495446,25.660593,2454988.15165,4.383
120498491,11.189562,2454973.63108,5.12
120498491,17.849,2454981.39039,5.8919
120498491,26.136,2454964.61923,6.613
120571308,2.20921951,2454964.90843,2.73
120576846,15.86621821,2454974.08805,4.1503
